USER	ITEM	SCORE
128	23985	1
128	15346	1
128	43744	1
128	41294	1
128	7502	1
128	478	1
128	11591	1
128	31376	1
128	30843	1
128	2827	1
128	14867	1
128	33578	1
128	4450	1
128	14992	1
128	868	1
129	15740	1
129	8034	1
129	43918	1
129	31251	1
129	5945	1
129	5083	1
130	15082	3
130	29581	2
130	15241	2
130	4290	2
130	1849	1
130	36534	1
130	40157	1
130	6745	1
130	44117	1
130	3816	1
130	34028	1
130	36957	1
130	5413	1
130	10838	1
130	37956	1
130	7809	1
130	3801	1
130	14564	1
130	15256	1
130	10209	1
131	40333	3
131	29451	2
131	10140	2
131	41426	2
131	24249	2
131	16191	2
131	25070	2
131	38898	2
131	13972	2
131	36685	1
131	2908	1
131	12570	1
131	23217	1
131	28753	1
131	5886	1
131	19728	1
131	29371	1
131	12271	1
131	3060	1
131	5178	1
132	11995	2
132	4313	2
132	37686	2
132	8707	1
132	14345	1
132	4719	1
132	43822	1
132	24363	1
132	3561	1
132	22367	1
132	20830	1
132	43959	1
132	16189	1
132	11262	1
132	1495	1
132	69	1
132	38059	1
132	25009	1
132	40680	1
133	10372	1
133	2571	1
133	27625	1
133	31607	1
133	8409	1
4811	19607	2
4811	39410	2
4811	7998	2
4811	17631	2
4811	24890	2
4811	29030	2
4811	10861	1
4811	33572	1
4811	13825	1
4811	8537	1
4811	28401	1
4811	2698	1
4811	43794	1
4811	20384	1
4811	6961	1
4811	11793	1
4811	2492	1
4811	34800	1
4811	22606	1
4811	24798	1
134	42116	2
134	4053	2
134	29227	1
134	6840	1
134	28463	1
134	16434	1
134	10133	1
134	3278	1
134	2196	1
134	19138	1
134	21407	1
134	24984	1
134	20276	1
134	25445	1
134	15368	1
134	2599	1
134	31956	1
134	26115	1
134	28544	1
134	2763	1
135	9248	1
135	19668	1
135	15124	1
135	2417	1
135	1334	1
135	37007	1
135	8375	1
135	1003	1
135	36680	1
135	23181	1
135	30335	1
135	29026	1
